TITLE (ORIGINAL),Corrected Title,Category
PRESS ASST/LEG CORRESPONDENT,Press Assistant/Legislative Correspondent,Press assistant/legislative correspondent
SR LEG COUNSEL/ LEG DIRECTOR,Senior Legislative Counsel/Legislative Director,Senior legislative counsel/legislative director
STAFF ASST/CORRESPONDENT,Staff Assistant/Correspondent,Staff assistant/correspondent
SCHEDULER/FIELD REPRESENTATIVE,Scheduler/Field Representative,Scheduler/field representative
CONSTITUENT SVCS/COM FIELD REP,Constituent Services/Community Field Representative,Constituent services/field representative
SENIOR ADVISOR/LEGAL COUNSEL,Senior Advisor/Legal Counsel,Senior advisor/counsel
STAFF ASST/COMMUNITY LIAISON ,Staff Assistant/Community Liaison,Staff assistant/liaison
LEGISLATIVE COUNSEL/LEG. ASST,Legislative Counsel/Legislative Assistant,Counsel/legislative assistant
LEGIS CORRES/LEGIS ASSISTANT ,Legislative Correspondent/Legislative Assistant,Legislative correspondent/legislative assistant
STAFF ASSIST/HR SPECIALIST  ,Staff Assistant/Human Resources Specialist,Staff assistant/human resources specialist
COMMUNICATIONS/LEG ASSISTANT,Communications/Legislative Assistant,Communications assistant/legislative assistant
COMMUNICATIONS/LEG ASSISTANT ,Communications/Legislative Assistant,Communications assistant/legislative assistant
SPEECHWRITER/COMMUN ADVISOR,Speechwriter/Communications Advisor,Speechwriter/communications advisor
BUDGET/APPROPRIATIONS ANALYST,Budget/Appropriations Analyst,Budget and appropriations analyst
STAFF ASSISTANT/FULL COMMITTEE ,Staff Assistant - Full Committee,Staff assistant/full committee
STAFF ASSISTANT/FC,Staff Assistant - Full Committee,Staff assistant/full committee
RESEARCH ASST./FULL COMM,Research Assistant - Full Committee,Research assistant/full committee
SR PROF. STAFF/COUNSEL,Senior Professional Staff/Counsel,Senior professional staff/counsel
MIN DEP STF DIR/CHIEF COUNSEL,Minority Deputy Staff Director/Chief Counsel,Deputy staff director/chief counsel
SCHEDULING ASSISTANT,Scheduling Assistant,Scheduling assistant
DIRECTOR OF ADVANCE,Director of Advance,Director of advance
DEP.DIR-MEM.SRV/OUTREACH,Deputy Director of Member Services/Outreach,Deputy director member services and outreach
DEPUTY DIRECTOR OF PROTOCOL,Deputy Director of Protocol,Deputy director of protocol
COMM DIR FOR SPEC LEG INIT,Communications Director for Special Legislative Initiatives,Communications director
TEMPORARY,Temporary,Temporary
CAUCUS FELLOW,Caucus Fellow,Caucus fellow
POLICY ADV & COALITIONS LIAISO,Policy Advisor/Coalitions Liaison,Policy advisor/liaison
LEGISLATIVE RESEARCH DIRECTOR ,Legislative Research Director,Legislative research director
SENIOR OFFICE COORDINATOR  ,Senior Office Coordinator,Senior office coordinator
FINANCIAL COUNSELOR (A)  ,Financial Counselor,Financial counselor
ASSISTANT CAO (CISO),Assistant Chief Administrative Officer,Assistant chief administrative officer
ADA AIDE ,Americans with Disabilities Act Aide,Policy aide
SPECIAL ASSISTANT/OPER SUPERVI,Special Assistant/Operations Supervisor,Special assistant/operations supervisor
AUDIT LIAISON,Audit Liaison,Liaison
DIRECTOR ,Director,Director
ASSISTANT CAO (CIO),Assistant Chief Administrative Officer,Assistant chief administrative officer
SR. SECURITY ENGINEER,Senior Security Engineer,Senior security engineer
THIRD ASSISTANT,Third Assistant,Assistant
SENIOR REFERENCE LIBRARIAN,Senior Reference Librarian,Senior reference librarian
PROCTOR  ,Proctor,Proctor
SPECIAL ASSISTANT TO THE CLERK,Special Assistant to the Clerk,Special assistant
LIBRARY ASSISTANT,Library Assistant,Library assistant
ASSISTANT TO THE CLERK,Assistant to the Clerk,Assistant
ASSISTANT TO THE CLERK ,Assistant to the Clerk,Assistant
SPECIAL ASST TO THE CLERK,Special Assistant to the Clerk,Special assistant
SPECIAL ASST TO THE CLERK  ,Special Assistant to the Clerk,Special assistant
ASST DIR OF RESIDENCE LIFE,Assistant Director of Residential Life,Assistant director
ASST DIR OF RESIDENTIAL LIFE,Assistant Director of Residential Life,Assistant director
DIGITAL LIBRARIAN,Digital Librarian,Digital librarian
CHAMBER SUPPORT SVCS STAFF (A)  ,Chamber Support Services Staff,Support services staff
AUDITOR/INVESTIGATOR,Auditor/Investigator,Auditor/investigaor
INSPECTOR GENERAL ,Inspector General,Inspector general
EXECUTIVE ASSISTANT/LEGISLATIV,Executive Assistant/Legislative,Executive assistant/legislative assistant
STAFF ASST/LEG CORRESPONDENT ,Staff Assistant/Legislative Correspondent,Staff assistant/legislative correspondent
SA/LC,Staff Assistant/Legislative Correspondent,Staff Assistant/legislative correspondent
JR LA,Junior Legislative Assistant,Junior legislative assistant
ACTING LEGISLATIVE DIRECTOR,Acting Legislative Director,Acting legislative director
CASEWORK DIRECTOR ,Casework Director,Casework director
LEGISLATIVE AIDE/PRESS ASST.,Legislative Aide/Press Assistant,Legislative aide/press assistant
FOREIGN POLICY ADVISOR,Foreign Policy Advisor,Policy advisor
COUNSEL/SENIOR POLICY ADVISOR,Counsel/Senior Policy Advisor,Counsel/senior policy advisor
LEG DIR & ED OF THE WEST CAUCU,Legislative Director/Editor of the Western Caucus,Legislative director/editor
AGRICULTURE SPECIALIST,Agricultural Specialist,Policy specialist
STAFF ASSIST/DEPUTY PRESS SEC,Staff Assistant/Deputy Press Secretary,Staff assistant/deputy press secretary
DISTRICT SCHEDULER/CASEWORKER ,District Scheduler/Caseworker,District scheduler/caseworker
LEGISLATIVE ASST/SPEC PROJ MGR,Legislative Assistant/Special Projects Manager,Legislative assistant/special project manager
LEGISLATIVE ASSISTANT(JR),Legislative Assistant,Legislative assistant
PRESS SECRETARY-OHIO,Press Secretary - Ohio,Press secretary
CONSTITUENT SERVICES REPRESENT  ,Constituent Services Representative ,Constituent services representative
SEN POLICY ADVISOR/COUNSEL,Senior Policy Advisor/Counsel,Senior policy advisor/counsel
DIST OPERATIONS DIRECTOR ,District Operations Director,District operations director
NEW MEDIA MANAGER / LEG ASST,New Media Manager/Legislative Assistant,New media manager/legislative assistant
JUNIOR LEGISLATIVE ASSISTANT,Junior Legislative Assistant,Junior legislative assistant
LEGIS CORRESP/LEGIS AIDE,Legislative Correspondent/Legislative Aide,Legislative correspondent/legislative aide
DISTRICT REGIONAL REPRESENTATI,District Regional Representative,District regional representative
MAJORITY STAFF DIRECTOR ,Majority Staff Director,Majority staff director
SENIOR ADVISOR/CASEWORK ANALYS,Senior Advisor/Casework Analyst,Senior advisor/casework analyst
SR LEGISLATIVE ASSISTANT ,Senior Legislative Assistant,Senior legislative assistant
COMMUNICATIONS COUNSEL,Communications Counsel,Communications counsel
JUNIOR AIDE,Junior Aide,Junior aide
CONSTITUENT COALITIONS COORDIN,Constituent Coalitions Coordinator,Constituent coalitions coordinator
COALITIONS COORDINATOR,Coalitions Coordinator,Coalitions coordinator
MILITARY LEGISLATIVE AIDE,Military Legislative Aide,Legislative aide
DIR OF CONSTITUENT OUTREACH,Director of Constituent Outreach,Director
LEGISLATIVE AIDE ,Legislative Aide,Legislative aide
CORRESPONDENCE COORDINATOR,Correspondence Coordinator,Correspondence coordinator
DISTRICT AIDE ,District Aide,District aide
JUNIOR FIELD REPRESENTATIVE,Junior Field Representative,Junior field representative
STAFF ASST/NEW MEDIA ASST,Staff Assistant/New Media Assistant,Staff assistant/new media assistant
CONST LIAISON/DIST SCHEDULER,Constituent Liaison/District Scheduler,Liaison/district scheduler
LEGIS CORRES/DEP SYST ADMIN,Legislative Correspondent/Deputy Systems Administrator,Legislative correspondent/deputy systems administrator
CASEWORK MANAGER ,Caseworker Manager,Casework manager
COMMUNITY REPRESENTATIVE. ,Community Representative,Liaison
"STAFF ASSISTANT, LEGISLATION",Staff Assistant - Legislation,Staff assistant
LEGISLATIVE STAFF ASSISTANT,Legislative Staff Assistant,Staff assistant
LD/CHIEF COUNSEL,Legislative Director/Chief Counsel,Legislative director/chief counsel
