TITLE (ORIGINAL),Corrected Title,Category
CHIEF COUN COMMUN & TECHNOLOGY,"Chief Counsel, Subcommittee on Communications and Technology",
ONLINE COMMUNICATIONS DIR,Online Communications Director,
"DEPUTY CHIEF COUNSEL,OVERSIGHT","Deputy Chief Counsel, Oversight",
"POLICY COORDINATOR, HEALTH",Policy Coordinator of Health,
DEPUTY IT DIRECTOR,Deputy Information Technology Director,
Democratic COUNSEL,Democratic Counsel,
SENIOR ASSISTANT CLERK,Senior Assistant Clerk,
CHIEF COUNSEL INVESTIGATIONS,Chief Counsel of Investigations,
Democratic INVESTIGATOR,Democratic Investigator,
POL ADV & INVESTIGATIV ANALYST,Policy Advisor and Investigative Analyst,
DEMOCRACTIC PROF STAFF MEMBER,Democratic Professional Staff Member,
DEMOC DIR OF COMMUNICATIONS,Democratic Director of Communications,
DIR OF MEM LIAISON & FLOOR OPS,Director of Member Liaison and Floor Operations,
DIR OF COMMUN & SR POL ADVISOR,Director of Communications and Senior Policy Advisor,
Democratic CHIEF CLERK,Democratic Chief Clerk,
Democratic POLICY DIRECTOR,Democratic Policy Director,
MANAGER OF FLOOR OPERATIONS,Manager of Floor Operations,
DEM CHIEF OVERSIGHT COUNSEL,Democratic Chief Oversight Counsel,
DEP CHIEF COUN INVESTIGATIONS,Deputy Chief Counsel of Investigations,
Democratic SR COUNSEL,Democratic Senior Counsel,
Democratic COMMUNICATIONS DIR,Democratic Communications Director,
Democratic INVESTIGATIVE COUNSEL,Democratic Investigative Counsel ,
DIRECTOR OF LEGISLATION,Director of Legislation,
DEPUTY CLERK/COUNSEL,Deputy Clerk / Counsel,
Democratic TECHNOLOGY DIRECTOR,Democratic Technology Director,
DEP CHIEF INFORMATION OFFICER,Deputy Chief Information Officer,
DEM COMMUNICATIONS DIR,Democratic Communications Director,
DIR OF MEMBER & COMM SERVICES,Director of Member and Communications Services,
STAFF DIRECTOR/GENERAL COUNSEL,Staff Director / General Counsel,
DIR OF TECHNOLOGY POLICY,Director of Technology Policy,
"DEM STAFF DIR, FRANKING COMMIS","Democratic Staff Director, Franking Commissioner",
DIRECTOR OF OVERSIGHT,Director of Oversight,
"PRF LEG STF,SUB I&AN AFFRS REP","Professional Legislative Staff, Subcommittee on Indian and Alaska Native Affairs (Republican)",
LEGISLATIVE STAFF (REP),Legislative Staff (Republican),
PROFESSIONAL STAFF (DEM),Professional Staff (Democratic),
DEP STAFF DIR FOR COMMUN (DEM),Deputy Staff Director for Communications (Democratic),
"STAFF DIRECTOR, FWO&1 (REP)","Staff Director, Subcommittee on Fisheries, Wildlife, Oceans, and Insular Affairs (Republican)",
CHIEF Democratic CLERK,Chief Democratic Clerk,
"STAFF DIR, ENER&MINERALS (REP)","Staff Director, Energy and Minerals Subcommittee (Republican)",
NEW MEDIA SPECIALIST (DEM),New Media Specialist (Democratic),
PRESS SECRETARY (REP),Press Secretary (Republican),
"STAF DIR,INDIAN/ALASKA NAT REP","Staff Director, Subcommittee on Indian and Alaska Native Affairs (Republican)",
PERSONNEL & FINANCIAL OFFICER,Personnel and Financial Officer,
SUBCOMMITTEE CLERK (REP),Subcommittee Clerk Representative (Republican),
SR INVEST & POLICY COOR DEM,Senior Investigator and Policy Coordinator (Democratic),
"CLERK,ENER & MINLS SUBCOM REP","Clerk, Energy and Minerals Subcommittee (Republican)",
"CLERK,FWO&INS AFFAIRS SUB(REP)","Clerk, Fisheries, Wildlife, Ocean, and Insular Affairs Subcommittee (Republican)",
CHIEF Democratic OUNSEL,Chief Democratic Counsel,
PROF STAFF MEMBER (DEM),Professional Staff Member (Democratic),
"COUNSEL, OVER & INV (REP)","Counsel, Oversight and Investigations Subcommittee (Republican)",
COMMUNICATIONS STAFF (REP),Communications Staff (Republican),
ONLINE COMMUNICATIONS MGR REP,Online Communications Manager (Republican),
PROFESSIONAL STAFF (REP),Professional Staff (Republican),
ASST TO CHMN&MEM SVS COORD REP,Assistant to the Chairman and Member Services Coordinator (Republican),
DIR OF LEGISLATIVE OPS (REP),Director of Legislative Operations (Republican),
PRESS ASSISTANT (REP),Press Assistant (Republican),
"DEMO COUN,INSULAR AFFAIRS DEM","Democratic Counsel, Subcommittee on Fisheries, Wildlife, Oceans, and Insular Affairs (Democratic)",
SENIOR POLICY ADVISOR (DEM),Senior Policy Advisor (Democratic),
CHIEF LEGISLATIVE COUNSEL REP,Chief Legislative Counsel (Republican),
STAFF ASSISTANT (REP),Staff Assistant (Republican),
SR COMM ADV&OUTREACH COOR DEM,Senior Communications Advisor and Outreach Coordinator (Democratic),
COMMUNCATIONS DIRECTOR (REP),Communications Director (Republican),
STAF DIR PARK/FOREST/LANDS REP,"Staff Director of Parks, Forests, and Lands Subcommittee (Republican)",
DIR NW E&E POL AND SR COUN REP,Director Northwest Energy and Environmental Policy and Senior Counsel (Republican),
DEP Democratic STAFF DIR (DEM),Deputy Democratic Staff Director (Democratic),
DIR OF MEMBER SVS & ADMIN REP,Director of Member Services and Administrative (Republican),
"SR COUN PARKS,FOR&PUB LAND DEM","Senior Counsel on Parks, Forests and Public Land Subcommittee (Democratic)",
STAFF DIR WATER & POWER (REP),Staff Director of Water and Power Subcommittee (Republican),
CHIEF OF STAFF (REP),Chief of Staff (Republican),
STAFF ASSOCIATE & POL ANALYST,Staff Associate and Policy Analyst,
SUBCOM PROF STAFF MEMBER,Subcommittee Professional Staff Member,
LEGIS CLERK & ADMIN OFFICER,Legislative Clerk and Administrative Officer,
DIR OF COMMITTEE OPERATIONS,Director of Committee Operations,
Democratic PROF STAFF MEMBER,Democratic Professional Staff Member,
DIR OF EVENTS/SCHEDULNG/TRAVEL,"Director of Events, Scheduling, and Travel",
LEG CORRES MANAGER/DOC CLERK,Legislative Correspondent Manager / Document Clerk,
SUBCOMMITTEE PROF STAFF MEMBER,Subcommittee Professional Staff Member,
PRESS ASST & DIR OF NEW MEDIA,Press Assistant and Director of New Media,
JR PROF STAFF MEMBER/ONI,Junior Professional Staff Member / ONI,
HDP STAFF DIRECTOR,House Democracy Partnership Staff Director,
HEARING COORDINATOR,Hearing Coordinator,
SEC OFFICER & PROF STAFF MEM,Security Officer and Professional Staff Member,
DEP CHIEF OF STAFF/PARLIAM,Deputy Chief of Staff / Parliamentarian,
DEP CHIEF OF STAFF/POLICY DIR,Deputy Chief of Staff / Policy Director,
SYSTEMS MANAGEMENT STAFF,Systems Management Staff,
DEPUTY CHIEF OF STAFF-MINORITY,Deputy Chief of Staff - Minority,
STAFF DIRECTOR - WATER RESOURC,Staff Director - Subcommittee on Water Resources and the Environment,
CHIEF FINANCIAL ADMINISTRATOR,Chief Financial Administrator,
PROFESSIONAL STAFF - WATER,Professional Staff - Subcommittee on Water Resources and the Environment,
"MINORITY COUNSEL, AVIATION",Minority Counsel - Subcommittee on Aviation,
MIN - PROF STAFF - RAILROAD,"Minority Professional Staff - Subcommittee on Railroads, Pipelines, and Hazardous Materials",
STAFF ASSISTANT-MINORITY,Minority Staff Assistant,
MIN-CLAUSEV-HIGHWAYS-SH,Minority-Clause V-Subcommittee on Highways and Transit,
MINORITY-COUNSEL ECON DEV,"Minority - Counsel, Subcommittee on Economic Development, Public Buildings, and Emergency Management",
"PROFESSIONAL STAFF, AVIATION",Professional Staff - Subcommittee on Aviation,
COUNSEL-ECON DEV-MINORITY,"Minority Counsel - Subcommittee on Economic Development, Public Buildings, and Emergency Management",
"MIN STAFF DIRECTOR, RAILROADS","Minority Staff Director - Subcommittee on Railroads, Pipelines, and Hazardous Materials",
PROF STAFF-HWYS-MINORITY,Minority Professional Staff - Subcommittee on Highways and Transit,
PROF STAFF-WATER-MINORITY,Minority Professional Staff - Subcommittee on Water Resources and the Environment,
MINORITY-STAFF DIR-AVIATION,Minority Staff Director - Subcommittee on Aviation,
"PROF STAFF, COAST GUARD",Professional Staff - Subcommittee on Coast Guard and Maritime Transportation,
COUNSEL - HIGHWAYS,Counsel - Subcommittee on Highways and Transit,
"COUNSEL, ECONOMIC DEVELOPMENT","Counsel, Economic Development",
EXECUTIVE ASSISTANT-MINORITY,Executive Assistant - Minority,
PROF STAFF - COAST GUARD - MIN,Minority Professional Staff - Subcommittee on Coast Guard and Maritime Transportation,
PROFESSIONAL STAFF - HWYS,Professional Staff - Subcommittee on Highways and Transit,
MINORITY-SR COUNSEL O&I,Minority - Senior Counsel Oversight and Investigations,
STAFF ASSISTANT (MINORITY),Staff Assistant (Minority),
LEGISLATIVE ASSISTANT-RR-S,"Legislative Assistant - Subcommittee on Railroads, Pipelines, and Hazardous Materials",
STAFF DIRECTOR-EC. DEV.,Staff Director - Economic Development,
DIRECTOR OF COMMITTEE FACILITI,Director of Committee Facilities,
STAFF ASSISTANT- WATER,Staff Assistant - Subcommittee on Water Resources and the Environment,
COUNSEL - WATER,Counsel - Subcommittee on Water Resources and the Environment,
STAFF DIR - COAST GUARD,Staff Director - Subcommittee on Coast Guard and Maritime Transportation,
STAFF ASST/PRESS ASST-MIN,Staff Assistant / Press Assistant - Minority,
STAFF DIRECTOR - HIGHWAYS,Staff Director - Subcommittee on Highways and Transit,
STAFF DIRECTOR-AVIATION,Staff Director - Subcommittee on Aviation,
CHIEF OF STAFF-MINORITY,Chief of Staff - Minority,
DEPUTY LEGISLATIVE CLERK,Deputy Legislative Clerk,
STAFF DIRECTOR - MAJORITY,Staff Director - Majority,
COMMITTEE CLERK - MAJORITY,Committee Clerk - Majority,
MIORITY LEGISLATIVE CLERK,Minority Legislative Clerk,
DEP STAFF DIRECTOR-MAJORITY,Deputy Staff Director - Majority,
MINORITY ASSOCIATE - POLIS,Minority Associate - Rep. Polis,
POLICY DIRECTOR - MAJORITY,Policy Director - Majority,
MINORITY ASSOCIATE-HASTINGS,Minority Associate - Hastings,
MAJORITY STAFF ASSISTANT,Majority Staff Assistant,
MINORITY ASSISTANT COUNSEL,Minority Assistant Counsel,
MINORITY PRESS ASSISTANT,Minority Press Assistant,
SC STAFF ASSISTANT-R & SE,Subcommittee Staff Assistant - Subcommittee on Research and Science Education,
POL STAFF SUBC ON INVES & OVER,Policy Staff Subcommittee on Investigations and Oversight,
"POL STAFF,SUBC ON TECH & INNOV","Policy Staff, Subcommittee on Technology and Innovation",
RESEARCH ASSISANT (E&E),"Research Assistant, Subcommittee on Energy and Environment",
STAFF DIR-SUBC ON ENER & ENVIR,Staff Director - Subcommittee on Energy and the Environment,
Democratic PROFESSIONAL STAFF,Democratic Professional Staff,
Democratic PROF STAFF-R&SE,Democratic Professional Staff - Subcommittee on Research and Science Education,
STAFF ASST-SUBC ON TECH&INNOV,Staff Assistant - Subcommittee on Technology and Innovation,
"POLICY STAFF,SUBC ON R & SE","Policy Staff, Subcommittee on Research and Science Education",
ADMINISTRATIVE & LEGAL ASSIST,Administrative and Legal Assistant,
STAFF DIR-SUBC SPACE & AERO,Staff Director - Subcommittee on Space and Aeronautics,
STAFF ASST-SUBCOMM ON R& SE,Staff Assistant - Subcommittee on Research and Science Education,
Democratic PROF STAFF-T & I,Democratic Professional Staff - Committee on Transportation and Infrastructure,
Democratic SHARED STAFF,Democratic Shared Staff,
Democratic PROF STAFF-E & E,Democratic Professional Staff - Subcommittee on Energy and Environment,
Democratic ADMINISTRATIVE ASST,Democratic Administrative Assistant,
Democratic PROF STAFF- S & A,Democratic Professional Staff - Subcommittee on Space and Aeronautics,
STAFF ASST-SC RES & SCIENCE ED,Staff Assistant - Subcommittee on Research and Science Education,
SR POL STAFF SUBC SPACE & AERO,Senior Policy Staff Subcommittee on Space and Aeronautics,
Democratic CHIEF OF STAFF,Democratic Chief of Staff,
"SHARED STAFF, SUBCOMM ON E&E","Shared Staff, Subcommittee on Energy and  Environment",
Democratic PROF STAFF I & O,Democratic Professional Staff Investigations and Oversight,
Democratic CHIEF COUNSEL,Democratic Chief Counsel,
SR POL STAFF SUBC ENERGY & ENV,Senior Policy Staff Subcommittee on Energy and the Environment,
STAFF ASST SUB ON SPACE & AERO,Staff Assistant Subcommittee on Space and Aeronautics,
SC STAFF ASSISTANT-I & O,Subcommittee Staff Assistant - Subcommittee on Investigations and Oversight,
DISTINGUISHED PROF STAFF,Distinguished Professional Staff,
STAFF DIR SUBC RES & SCI EDUC,Staff Director Subcommittee on Research and Science Education,
POL STAFF SUBC ON ENERGY & ENV,Policy Staff Subcommittee on Energy and the Environment,
CLERK/WRITER,Clerk/ Writer,
PRESS ASST/NEWS MEDIA COORD,Press Assistant / News Media Coordinator,
"SUBCOMM STAFF DIRECTOR, EO","Subcommittee Staff Director, Subcommittee on Economic Opportunity",
"STAFF DIRECTOR, DAMA",Staff Director Subcommittee on Disability Assistance and Memorial Affairs,
"PROF STAFF MBR,OVERSIGHT","Professional Staff Member, Oversight",
SUBC STAFF DIRECTOR - I & O,Subcommittee Staff Director - Subcommittee on Investigations and Oversight,
"DEMOCRA STAFF DIR, OVERSIGHT","Democratic Staff Director, Oversight",
"DEM STAFF DIR & COUNSEL, EO","Democratic Staff Director and Counsel, Subcommittee on Economic Opportunity",
"DEM STAFF DIR & COUNSEL, DAMA","Democratic Staff Director and Counsel, Subcommittee on Disability Assistant and Memorial Affairs",
DEP DEM STAFF DIR & CHIEF COUN,Deputy Democratic Staff Director and Chief Counsel,
"DEM STAFF DIRECTOR, HEALTH","Democratic Staff Director, Subcommittee on Health",
"REPUB STAFF DIR, OVERSIGHT","Republican Staff Director, Oversight",
TAX COUN/SPEC ADVI TAX REFORM,Tax Counsel / Special Advisor for Tax Reform,
Democratic SCHEDULE COORDINAT,Democratic Schedule Coordinator,
SR ADV-PUBLIC AFFAIRS & COALIT,Senior Advisor - Public Affairs and Coalitions,
STAFF DIR-HUMAN RESOURCES SC,Staff Director -- Human Resources Subcommittee,
"STAFF DIR,SUBC ON SOCIAL SECUR","Staff Director, Subcommittee on Social Security",
DEM CHIEF COUN & CHIEF TAX COU,Democratic Chief Counsel and Chief Tax Counsel,
DEP STAFF DIR HR SUBC,Deputy Staff Director Human Resources Subcommittee,
SENIOR ECONOMIC ADVISOR,Senior Economic Advisor,
SYSTEM/WEB ADMINISTRATOR,System / Web Administrator,
GEN COUNSEL/OVERSIGT STAFF DIR,General Counsel / Oversight Staff Director,
ECONOMIC & MEDIA ANALYST,Economic and Media Analyst,
STAFF & COMMUN DIRECTOR,Staff and Communications Director,
"SENIOR ADVISOR, MINORITY","Senior Advisor, Minority",
"DEP CHIEF COUNSEL, MINORITY","Deputy Chief Counsel, Minority",
CHIEF COUNSEL FOR LEGISLATION,Chief Counsel for Legislation,
CHIEF COUNSEL FOR OVERSIGHT,Chief Counsel for Oversight,
SR COUNTERTERRORISM ADVISOR,Senior Counterterrorism Advisor,
CHIEF PARLIAMENTARIAN,Chief Parliamentarian,
CHIEF OPERATING OFFICER,Chief Operator Officer,
ACCRUED LEAVE,Accrued Leave,
ACCOUNTANT ,Accountant,Administrative assistant
ADM ASSIST TO DIR OF ED POLICY,Administrative Assistant to Director of Education Policy,Administrative assistant
ADMIN DIRECTOR & LEGI ASSISTAN,Administrative Director and Legislative Assistant,Administrative director/legislative assistant  
ADMINISTRATIVE ASSISTANT ,Administrative Assistant,Administrative assistant   
ADMINISTRATIVE SECRETARY ,Administrative Secretary,Administrative secretary   
AGRICULTURE & DAIRY SPECIALIST,Agriculture and Dairy Specialist,Specialist  
AGRICULTURE COUNSEL ,Agriculture Counsel,Counsel   
ANALYST,Analyst,Analyst  
AREA COORDINATOR ,Area Coordinator,Area coordinator   
ASSISTANT CAO (CSD),Assistant Chief Administrative Officer,Assistant chief administrative officer
ASSISTANT COMMS DIRECTOR,Assistant Communications Director,Assistant communications director  
ASST COMMUNICATIONS DIRECTOR,Assistant Communications Director,Assistant communications director  
ASST COMMUNICATIONS DIRECTOR ,Assistant Communications Director,Assistant communications director   
ASST DIR ADMINISTRATION ,Assistant Director Administration,Assistant director
"ASST DIR, OPERATIONS ","Assistant Director, Operations",Assistant director
ASST JOURNAL CLERK ,Assistant Journal Clerk,Assistant journal clerk   
ASST TO CONG EDWARDS (P),Assistant to Cong. Edwards,Assistant to the representative
ASST TO CONG KINGSTON (P),Assistant to Cong. Kingston,Assistant to the representative
ASST TO CONG. HOLT,Assistant to Cong. Holt,Assistant to the representative
ASST TO THE CLERK,Assistant to the Clerk,Assistant to the clerk  
"ASST. DIR., PERF. & FIN. AUDIT","Assistant Director, Performance and Financial Audit",Assistant director
"ASST.DIR., PERF. AUDITS, INV.","Assistant Director, Performance Audits, Inventory",Assistant director
BLANK 9,Blank 9,Blank 9  
BLUE DOG POLICY DIRECTOR,Blue Dog Policy Director,Policy director  
CALIFORNIA SCHEDULER,California Scheduler,Scheduler  
CALIFORNIA SCHEDULER ,California Scheduler,Scheduler   
CAPAC EXECUTIVE DIRECTOR,Congressional Asian Pacific American Caucus Executive Director,Executive director  
CHIEF COUNSEL ,Chief Counsel,Chief counsel   
CHIEF OF OPERATIONS,Chief of Operations,Chief of operations  
COMMUNICATIONS ASSOCIATE,Communications Associate,Communications associate  
COMMUNICATIONS ASSOCIATE ,Communications Associate,Communications associate   
COMMUNICATIONS-CAPAC,"Communications, Congressional Asian Pacific American Caucus",Communications coordinator
COMMUNITY DIRECTOR,Community Director,Community director  
COMMUNITY OUTREACH SPECIALIST,Community Outreach Specialist,Community outreach specialist  
CONGRESSIONAL ASSISTANT ,Congressional Assistant,Congressional assistant   
CONGRESSIONAL DISTRICT LIAISON ,Congressional District Liaison,Congressional district liaison   
CONGRESSIONAL LIASON,Congressional Liaison,Liaison  
CONGRESSIONAL OUTREACH COORDIN,Congressional Outreach Coordinator,Congressional outreach coordinator  
CONGRESSIONAL REPRESENTATIVE ,Congressional Representative,Congressional representative   
CONGRESSIONAL STAFFER,Congressional Staffer,Congressional staffer  
CONSTITUENT RELATIONS REP.,Constituent Relations Representative,Constituent relations representative  
CONSTITUENT SERVICE MANAGER ,Constituent Services Manager,Constituent service manager   
CONSTITUENT SERVICE SPECIALIST ,Constituent Service Specialist,Constituent service specialist   
CONSTITUENT SERVICES MANAGER ,Constituent Services Manager,Constituent services manager   
CONSTITUENT SERVICES REP ,Constituent Services Representative,Constituent services representative   
CONTRACT ADMINISTRATOR ,Contract Administrator,Contract administrator   
COUNSEL FOR CONS SVCS,Counsel for Constituent Services,Counsel
CUSTOMER SOLUTIONS SPECIALIST,Customer Solutions Specialist,Customer solutions specialist  
DEMOCRATIC STAFF DIRECTOR,Democratic Staff Director ,Staff director  
DEMOCRATIC TAX COUNSEL,Democratic Tax Counsel,Counsel  
DEP CHF COUN & DIR INV ENFORCE,Deputy Chief Counsel and Director of Inventory Enforcement,Deputy chief counsel/director  
DEP CHF COUN & DIR OF ADV & ED ,Deputy Chief Counsel and Director of Advocacy and Education,Deputy chief counsel/director
"DEP DIR, HOUSE OFFICER OVERS’T","Deputy Director, House Officer Oversight",Deputy director
DEP DIST DIR OF OUTREACH,Deputy District Director of Outreach,Deputy district director
DEP DIST DIR OF OUTREACH ,Deputy District Director of Outreach,Deputy district director
DEPUTY CHIEF OF STAFF FOR POLI,Deputy Chief of Staff for Policy,Deputy chief of staff
DEPUTY COMMUNICATIONS DIRECTOR ,Deputy Communications Director,Deputy communications director   
DEPUTY DIRECTOR OF COALITIONS,Deputy Director of Coalitions,Deputy director
DEPUTY DIRECTOR OF CONSTITUENT,Deputy Director of Constituent,Deputy director
DEPUTY PRESS SECRETARY ,Deputy Press Secretary,Deputy press secretary   
